"","season","game_id","team_name","game_date","team_score","opponent_team_score","off_rating","def_rating","season_type","Possession","team_home_away","last_rating","is_home"
"1",2010,291028019,"76ers",2009-10-28,106,120,NA,NA,2,NA,"away",NA,FALSE
"2",2010,291030020,"76ers",2009-10-30,99,86,NA,NA,2,NA,"home",NA,TRUE
"3",2010,291031018,"76ers",2009-10-31,141,127,NA,NA,2,NA,"away",NA,FALSE
"4",2010,291103020,"76ers",2009-11-03,74,105,NA,NA,2,NA,"home",NA,TRUE
"5",2010,291106020,"76ers",2009-11-06,97,94,NA,NA,2,NA,"home",NA,TRUE
"6",2010,291108008,"76ers",2009-11-08,81,88,NA,NA,2,NA,"away",NA,FALSE
"7",2010,291109020,"76ers",2009-11-09,115,119,NA,NA,2,NA,"home",NA,TRUE
"8",2010,291111017,"76ers",2009-11-11,82,79,NA,NA,2,NA,"away",NA,FALSE
"9",2010,291113020,"76ers",2009-11-13,90,112,NA,NA,2,NA,"home",NA,TRUE
"10",2010,291114004,"76ers",2009-11-14,88,94,NA,NA,2,NA,"away",NA,FALSE
"11",2010,291118020,"76ers",2009-11-18,86,84,NA,NA,2,NA,"home",NA,TRUE
"12",2010,291120020,"76ers",2009-11-20,97,102,NA,NA,2,NA,"home",NA,TRUE
"13",2010,291121005,"76ers",2009-11-21,91,97,NA,NA,2,NA,"away",NA,FALSE
"14",2010,291124027,"76ers",2009-11-24,107,108,NA,NA,2,NA,"away",NA,FALSE
"15",2010,291125002,"76ers",2009-11-25,110,113,NA,NA,2,NA,"away",NA,FALSE
"16",2010,291127020,"76ers",2009-11-27,86,100,NA,NA,2,NA,"home",NA,TRUE
"17",2010,291129024,"76ers",2009-11-29,89,97,NA,NA,2,NA,"away",NA,FALSE
"18",2010,291130006,"76ers",2009-11-30,102,104,NA,NA,2,NA,"away",NA,FALSE
"19",2010,291202025,"76ers",2009-12-02,106,117,NA,NA,2,NA,"away",NA,FALSE
"20",2010,291205030,"76ers",2009-12-05,105,106,NA,NA,2,NA,"away",NA,FALSE
"21",2010,291207020,"76ers",2009-12-07,83,93,NA,NA,2,NA,"home",NA,TRUE
"22",2010,291209020,"76ers",2009-12-09,86,90,NA,NA,2,NA,"home",NA,TRUE
"23",2010,291211020,"76ers",2009-12-11,91,96,NA,NA,2,NA,"home",NA,TRUE
"24",2010,291214020,"76ers",2009-12-14,117,101,NA,NA,2,NA,"home",NA,TRUE
